"Firm","Facade filings (18mo)","Shed permits","Total jobs","Boroughs","Median declared cost","Search"
"J&N CONSTRUCTION GRP CORP","65","72","137","Brooklyn / Queens / BROOKLYN","","https://www.google.com/search?q=J%26N%20CONSTRUCTION%20GRP%20CORP%20NYC%20facade%20contractor%20phone"
"ZI ENGINEERING, P.C","56","0","56","Brooklyn / Queens","$191,750","https://www.google.com/search?q=ZI%20ENGINEERING%2C%20P.C%20NYC%20facade%20contractor%20phone"
"FOCAL POINT ARCHITECTS & ASS.","55","0","55","Brooklyn / Queens","$120,240","https://www.google.com/search?q=FOCAL%20POINT%20ARCHITECTS%20%26%20ASS.%20NYC%20facade%20contractor%20phone"
"ASR ENGINEERING PC","51","0","51","Brooklyn / Queens","$217,520","https://www.google.com/search?q=ASR%20ENGINEERING%20PC%20NYC%20facade%20contractor%20phone"
"STRUCTURAL PRESERVATION S","50","45","95","Brooklyn / Queens","","https://www.google.com/search?q=STRUCTURAL%20PRESERVATION%20S%20NYC%20facade%20contractor%20phone"
"BANGASH ASSOCIATES INC.","48","0","48","Brooklyn / Queens","$72,100","https://www.google.com/search?q=BANGASH%20ASSOCIATES%20INC.%20NYC%20facade%20contractor%20phone"
"STRUCTUAL PRESV SYSTEM","43","31","74","Brooklyn / Queens / BROOKLYN","","https://www.google.com/search?q=STRUCTUAL%20PRESV%20SYSTEM%20NYC%20facade%20contractor%20phone"
"ZORIA HOUSING LLC","40","44","84","Queens / Brooklyn / QUEENS / BROOKLYN","","https://www.google.com/search?q=ZORIA%20HOUSING%20LLC%20NYC%20facade%20contractor%20phone"
"MCHENERY TESTING LAB","39","0","39","Queens / Brooklyn","$201,000","https://www.google.com/search?q=MCHENERY%20TESTING%20LAB%20NYC%20facade%20contractor%20phone"
"SRL ASSOCIATES","37","0","37","Queens / Brooklyn","$375,000","https://www.google.com/search?q=SRL%20ASSOCIATES%20NYC%20facade%20contractor%20phone"
"SUPERSTRUCTURES ENG. + ARCH.","35","0","35","Brooklyn / Queens","$950,400","https://www.google.com/search?q=SUPERSTRUCTURES%20ENG.%20%2B%20ARCH.%20NYC%20facade%20contractor%20phone"
"ASHRAF CORP","34","0","34","Brooklyn / Queens","$92,160","https://www.google.com/search?q=ASHRAF%20CORP%20NYC%20facade%20contractor%20phone"
"XINOS CONSTRUCTION CORP","33","155","188","Queens / Brooklyn / QUEENS / BROOKLYN","","https://www.google.com/search?q=XINOS%20CONSTRUCTION%20CORP%20NYC%20facade%20contractor%20phone"
"PACE ENGINEERING P.C.","33","0","33","Queens / Brooklyn","$818,727.12","https://www.google.com/search?q=PACE%20ENGINEERING%20P.C.%20NYC%20facade%20contractor%20phone"
"CATALDO ENGINEERING, P.C.","32","0","32","Queens / Brooklyn","$295,380","https://www.google.com/search?q=CATALDO%20ENGINEERING%2C%20P.C.%20NYC%20facade%20contractor%20phone"
"GEORGE J. XERAKIAS, PE","31","0","31","Queens / Brooklyn","$160,200","https://www.google.com/search?q=GEORGE%20J.%20XERAKIAS%2C%20PE%20NYC%20facade%20contractor%20phone"
"PRAMODRAY SHAH, P.E.","30","0","30","Brooklyn / Queens","$280,000","https://www.google.com/search?q=PRAMODRAY%20SHAH%2C%20P.E.%20NYC%20facade%20contractor%20phone"
"PVE ENGINEERING","30","0","30","Queens / Brooklyn","$239,925","https://www.google.com/search?q=PVE%20ENGINEERING%20NYC%20facade%20contractor%20phone"
"Mumtaz Enterprises","29","0","29","Brooklyn / Queens","","https://www.google.com/search?q=Mumtaz%20Enterprises%20NYC%20facade%20contractor%20phone"
"QUEENS ENGINEERING","28","0","28","Brooklyn / Queens","","https://www.google.com/search?q=QUEENS%20ENGINEERING%20NYC%20facade%20contractor%20phone"
"PREMIER CONSTRUCTION INC","27","14","41","Brooklyn","","https://www.google.com/search?q=PREMIER%20CONSTRUCTION%20INC%20NYC%20facade%20contractor%20phone"
"NYC SCHOOL CONSTRUCTION AUTHORITY","27","0","27","Brooklyn / Queens","$6,750,000","https://www.google.com/search?q=NYC%20SCHOOL%20CONSTRUCTION%20AUTHORITY%20NYC%20facade%20contractor%20phone"
"Farhad Bassiri-Tehrani","24","0","24","Brooklyn / Queens","$150,000","https://www.google.com/search?q=Farhad%20Bassiri-Tehrani%20NYC%20facade%20contractor%20phone"
"RIGID STRUCTURAL DESIGN, LLC","24","0","24","Brooklyn / Queens","","https://www.google.com/search?q=RIGID%20STRUCTURAL%20DESIGN%2C%20LLC%20NYC%20facade%20contractor%20phone"
"SALAMON ENGINEERING PLLC","24","0","24","Brooklyn / Queens","$284,177","https://www.google.com/search?q=SALAMON%20ENGINEERING%20PLLC%20NYC%20facade%20contractor%20phone"
"RIMKUS NEW YORK PLLC","23","0","23","Queens / Brooklyn","$252,142","https://www.google.com/search?q=RIMKUS%20NEW%20YORK%20PLLC%20NYC%20facade%20contractor%20phone"
"CENTRAL CONSTRUCTION MGMT","22","49","71","Brooklyn / Queens / QUEENS / BROOKLYN","","https://www.google.com/search?q=CENTRAL%20CONSTRUCTION%20MGMT%20NYC%20facade%20contractor%20phone"
"LEON SKVIRSKY PE","22","0","22","Brooklyn / Queens","","https://www.google.com/search?q=LEON%20SKVIRSKY%20PE%20NYC%20facade%20contractor%20phone"
"LS GENERAL CORP","21","31","52","Brooklyn / BROOKLYN","","https://www.google.com/search?q=LS%20GENERAL%20CORP%20NYC%20facade%20contractor%20phone"
"BITOPI CONSULTANTS LLC","21","0","21","Brooklyn / Queens","$57,000","https://www.google.com/search?q=BITOPI%20CONSULTANTS%20LLC%20NYC%20facade%20contractor%20phone"
"R CLADDING CONSULTING & ENGINEERING","20","0","20","Brooklyn","$3,425,000","https://www.google.com/search?q=R%20CLADDING%20CONSULTING%20%26%20ENGINEERING%20NYC%20facade%20contractor%20phone"
"SATO CONSTRUCTION CO. INC","19","7","26","Brooklyn / Queens / QUEENS / BROOKLYN","","https://www.google.com/search?q=SATO%20CONSTRUCTION%20CO.%20INC%20NYC%20facade%20contractor%20phone"
"MOHAMMAD AHEAD, PE","18","0","18","Brooklyn / Queens","$111,600","https://www.google.com/search?q=MOHAMMAD%20AHEAD%2C%20PE%20NYC%20facade%20contractor%20phone"
"HLZAE, Inc.","18","0","18","Queens / Brooklyn","$270,720","https://www.google.com/search?q=HLZAE%2C%20Inc.%20NYC%20facade%20contractor%20phone"
"MERRITT ENGINEERING CONSULTANTS, DPC","18","0","18","Brooklyn / Queens","$437,845","https://www.google.com/search?q=MERRITT%20ENGINEERING%20CONSULTANTS%2C%20DPC%20NYC%20facade%20contractor%20phone"
"K.E.S. CONSTRUCTION CO IN","17","16","33","Brooklyn / Queens / QUEENS / BROOKLYN","","https://www.google.com/search?q=K.E.S.%20CONSTRUCTION%20CO%20IN%20NYC%20facade%20contractor%20phone"
"KMB DESIGN GROUP, LLC","17","0","17","Brooklyn / Queens","$108,800","https://www.google.com/search?q=KMB%20DESIGN%20GROUP%2C%20LLC%20NYC%20facade%20contractor%20phone"
"TRIBUTE RESTORATION INC","16","18","34","Queens / Brooklyn / BROOKLYN / QUEENS","","https://www.google.com/search?q=TRIBUTE%20RESTORATION%20INC%20NYC%20facade%20contractor%20phone"
"KAY WATERPROOFING CORP.","16","12","28","Queens / Brooklyn / BROOKLYN / QUEENS","","https://www.google.com/search?q=KAY%20WATERPROOFING%20CORP.%20NYC%20facade%20contractor%20phone"
"EOC-NY","16","0","16","Brooklyn / Queens","$90,000","https://www.google.com/search?q=EOC-NY%20NYC%20facade%20contractor%20phone"
"THE MTM DESIGN GROUP, LLC","16","0","16","Brooklyn / Queens","$104,700","https://www.google.com/search?q=THE%20MTM%20DESIGN%20GROUP%2C%20LLC%20NYC%20facade%20contractor%20phone"
"SRS ARCHITECT, PC","16","0","16","Brooklyn / Queens","$397,264","https://www.google.com/search?q=SRS%20ARCHITECT%2C%20PC%20NYC%20facade%20contractor%20phone"
"AP PROFESSIONAL ENGINEERING PLLC","16","0","16","Brooklyn / Queens","$70,000","https://www.google.com/search?q=AP%20PROFESSIONAL%20ENGINEERING%20PLLC%20NYC%20facade%20contractor%20phone"
"LINGINEERING CONSULTING","16","0","16","Brooklyn","$244,050","https://www.google.com/search?q=LINGINEERING%20CONSULTING%20NYC%20facade%20contractor%20phone"
"OSPINO ENGINEERING PLLC","16","0","16","Queens / Brooklyn","","https://www.google.com/search?q=OSPINO%20ENGINEERING%20PLLC%20NYC%20facade%20contractor%20phone"
"ZENITH HOME INSPECTIONS","16","0","16","Brooklyn / Queens","$51,200","https://www.google.com/search?q=ZENITH%20HOME%20INSPECTIONS%20NYC%20facade%20contractor%20phone"
"SHAHRISH SHUVO ENGINEERING P.C.","16","0","16","Brooklyn / Queens","$75,000","https://www.google.com/search?q=SHAHRISH%20SHUVO%20ENGINEERING%20P.C.%20NYC%20facade%20contractor%20phone"
"Q & F CONSTRUCTION INC.","16","0","16","Brooklyn","$183,280","https://www.google.com/search?q=Q%20%26%20F%20CONSTRUCTION%20INC.%20NYC%20facade%20contractor%20phone"
"EDG","15","0","15","Queens / Brooklyn","$600,000","https://www.google.com/search?q=EDG%20NYC%20facade%20contractor%20phone"
"NYCSCA","15","0","15","Queens / Brooklyn","$5,000,000","https://www.google.com/search?q=NYCSCA%20NYC%20facade%20contractor%20phone"
"GREEN DESIGN ARCHITECTS, PC","15","0","15","Queens","$187,082","https://www.google.com/search?q=GREEN%20DESIGN%20ARCHITECTS%2C%20PC%20NYC%20facade%20contractor%20phone"
"KAMEN TALL ARCHITECTS P.C.","15","0","15","Brooklyn / Queens","$774,000","https://www.google.com/search?q=KAMEN%20TALL%20ARCHITECTS%20P.C.%20NYC%20facade%20contractor%20phone"
"LAWLESS & MANGIONE, LLP","15","0","15","Queens / Brooklyn","$777,050","https://www.google.com/search?q=LAWLESS%20%26%20MANGIONE%2C%20LLP%20NYC%20facade%20contractor%20phone"
"SAGHARI ARCHITECTURAL SERVICES, PC","15","0","15","Queens / Brooklyn","$125,995","https://www.google.com/search?q=SAGHARI%20ARCHITECTURAL%20SERVICES%2C%20PC%20NYC%20facade%20contractor%20phone"
"JERRICK ASSOCIATES, INC","14","16","30","Brooklyn / Queens / BROOKLYN","","https://www.google.com/search?q=JERRICK%20ASSOCIATES%2C%20INC%20NYC%20facade%20contractor%20phone"
"AM&G WATERPROOFING LLC","14","10","24","Queens / Brooklyn","","https://www.google.com/search?q=AM%26G%20WATERPROOFING%20LLC%20NYC%20facade%20contractor%20phone"
"KN3 ENGINEERING LLC","14","0","14","Queens / Brooklyn","$780,681","https://www.google.com/search?q=KN3%20ENGINEERING%20LLC%20NYC%20facade%20contractor%20phone"
"MVN ARCHITECT LLC","14","0","14","Brooklyn / Queens","$264,380","https://www.google.com/search?q=MVN%20ARCHITECT%20LLC%20NYC%20facade%20contractor%20phone"
"RI CONSULTING SERVICES INC","14","0","14","Brooklyn / Queens","","https://www.google.com/search?q=RI%20CONSULTING%20SERVICES%20INC%20NYC%20facade%20contractor%20phone"
"KZ ENGINEERING, P.C","14","0","14","Brooklyn / Queens","","https://www.google.com/search?q=KZ%20ENGINEERING%2C%20P.C%20NYC%20facade%20contractor%20phone"
